City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,gisborne,-38.6533,178.0042,9.46,47,0,1.03,NZ,1693259913
267,tromso,69.6496,18.957,14.65,72,20,2.57,NO,1693259914
268,howard springs,-12.497,131.047,21.95,90,90,2.73,AU,1693259914
269,icano,-28.9193,-65.3282,20.57,21,0,6.05,AR,1693259915
270,zarghun shahr,32.8473,68.4457,18.04,24,0,1.22,AF,1693259915
271,huarmey,-10.0681,-78.1522,21.56,73,24,5.18,PE,1693259915
272,al fallujah,33.3538,43.7795,30.94,31,0,5.21,IQ,1693259916
273,chapeco,-27.0964,-52.6183,17.86,59,0,3.09,BR,1693259916
274,agbabu,6.5886,4.8343,23.33,97,50,1.28,NG,1693259916
275,san jose de guanipa,8.8872,-64.1651,31.62,49,6,2.69,VE,1693259917
276,macapa,0.0389,-51.0664,30.99,62,20,4.63,BR,1693259892
277,mitu,1.1983,-70.1733,29.6,66,59,1.45,CO,1693259918
278,tual,-5.6667,132.75,24.68,83,100,9.41,ID,1693259918
279,hermanus,-34.4187,19.2345,14.89,58,0,3.98,ZA,1693259918
280,tosontsengel,48.7567,98.2839,11.67,66,7,1.02,MN,1693259919
281,balotra,25.8333,72.2333,26.58,70,0,9.04,IN,1693259919
282,kotabumi,-4.8333,104.9,21.86,90,50,1.99,ID,1693259920
283,kanye,-24.9667,25.3327,11.02,37,99,3.49,BW,1693259920
284,victoria point,-27.5833,153.3,17.75,87,98,0.45,AU,1693259921
285,chinchilla,-26.75,150.6333,15.47,69,14,4.65,AU,1693259921
286,baise city,23.8997,106.6133,23.49,88,100,0.81,CN,1693259921
287,artsyz,45.9919,29.4182,26.87,41,5,3.61,UA,1693259922
288,kutum,14.2,24.6667,24.94,54,29,2.44,SD,1693259922
289,broome,42.2506,-75.833,22.83,85,100,3.09,US,1693259923
290,ammon,43.4696,-111.9666,31.28,27,0,1.34,US,1693259924
291,whitehorse,60.7161,-135.0538,27.28,43,20,1.03,CA,1693259924
292,shigony,53.3875,48.6777,10.47,67,75,8.16,RU,1693259925
293,new albany,38.2856,-85.8241,30.06,49,40,5.66,US,1693259925
294,bonner,48.8333,-117.0013,31.04,18,0,1.23,US,1693259926
295,khenifra,32.9333,-5.6667,24.92,19,0,1.59,MA,1693259927
296,sola,-13.8833,167.55,27.37,83,100,0.0,VU,1693259927
297,sevastopol,44.6,33.5333,24.44,55,0,1.58,UA,1693259736
298,anatuya,-28.4606,-62.8347,19.32,19,0,4.34,AR,1693259704
299,mizdah,31.4451,12.9801,24.04,73,1,3.15,LY,1693259928
300,port hedland,-20.3167,118.5667,15.03,47,1,2.06,AU,1693259928
301,tome,-36.6167,-72.95,13.34,92,81,3.61,CL,1693259929
